学校	がっこう	Noun:|1. school||Wikipedia definition:|2. School
セーター	Noun:|1. sweater; jumper||Wikipedia definition:|2. Sweater
アパート	Noun:|1. apartment building; apartment block; apartment house (Abbreviation)|2. apartment (Abbreviation)||Wikipedia definition:|3. Apartment
ポケット	Noun:|1. pocket||Wikipedia definition:|2. Pocket
バター	Noun:|1. butter||Wikipedia definition:|2. Butter
キロ	Prefix:|1. kilo-; 1000||Noun:|2. kilogram; kilogramme (Abbreviation)|3. kilometre; kilometer (Abbreviation)||Prefix:|4. kilo-; 1024; 2^10 (Computer terminology)||Wikipedia definition:|5. Kilo-
スカート	Noun:|1. skirt||Wikipedia definition:|2. Skirt
レコード	Noun:|1. record (e.g. LP)|2. record (e.g. in sports)|3. record (data structure) (Computer terminology)||Wikipedia definition:|4. Gramophone record
エレベーター	Noun:|1. elevator; lift|2. elevator (aviation)||Wikipedia definition:|3. Elevator
ズボン	Noun:|1. trousers; pants (also written as 洋袴 and 段袋 during the Meiji period)||Wikipedia definition:|2. Trousers
ポスト	Noun:|1. postbox; mail box; pillar box|2. post; position|3. post (e.g. goalpost)||Noun or verb acting prenominally:|4. post- (e.g. post-Cold War)||Wikipedia definition:|5. Post
コピー	Noun, Suru verb:|1. copy; photocopy|2. blurb on a book jacket|3. catch copy (Abbreviation)||Wikipedia definition:|4. Copy
シャワー	Noun:|1. shower||Wikipedia definition:|2. Shower
ハンカチ	Noun:|1. handkerchief (Abbreviation)||Wikipedia definition:|2. Handkerchief
一昨日	おととい	Adverbial noun, Temporal noun:|1. day before yesterday||Wikipedia definition:|2. Daytime (astronomy)
ストーブ	Noun:|1. (room) heater; stove||Wikipedia definition:|2. Kitchen stove
テープ	Noun:|1. tape||Wikipedia definition:|2. Tape
カップ	Noun:|1. cup (drinking vessel, measure, brassiere, prize, etc.)|2. instant noodles purchased in cup; cup noodles (Abbreviation)||Wikipedia definition:|3. Cup
テープレコーダー	Noun:|1. tape recorder||Wikipedia definition:|2. Tape recorder
ボールペン	Noun:|1. ball-point pen (Wasei, word made in Japan)||Wikipedia definition:|2. Ballpoint pen
スプーン	Noun:|1. spoon||Wikipedia definition:|2. Spoon
スリッパ	Noun:|1. slipper; slippers||Wikipedia definition:|2. Slipper
醤油	しょうゆ	Noun:|1. soy sauce; shoyu (しょゆ, しょゆう are dial.)||Wikipedia definition:|2. Soy sauce
はい	:|1. yes; that is correct (Polite (teineigo))|2. understood; I see; OK; okay|3. present; here (as a response to a roll call)|4. pardon?; what's that?; come again? (Colloquialism) (with rising intonation)|5. now; here; here you go (used when calling for someone's attention or when handing something to someone)|6. giddy-up; giddap||Wikipedia definition:|7. Yes and no
ペット	Noun:|1. pet|2. trumpet (Abbreviation)||Wikipedia definition:|3. Pet
する	Suru verb - irregular:|1. to do; to carry out; to perform (Usually written using kana alone)|2. to cause to become; to make (into); to turn (into) (Usually written using kana alone)|3. to serve as; to act as; to work as (Usually written using kana alone)|4. to wear (clothes, a facial expression, etc.) (Usually written using kana alone)|5. to judge as being; to view as being; to think of as; to treat as; to use as (Usually written using kana alone) (as 〜にする,〜とする)|6. to decide on; to choose (Usually written using kana alone) (as 〜にする)||Suru verb - irregular, intransitive verb:|7. to be sensed (of a smell, noise, etc.) (Usually written using kana alone) (as 〜がする)|8. to be (in a state, condition, etc.) (Usually written using kana alone)|9. to be worth; to cost (Usually written using kana alone)|10. to pass (of time); to elapse (Usually written using kana alone)||Suru verb - irregular, Transitive verb:|11. to place, or raise, person A to a post or status B (Usually written using kana alone) (as AをBにする)|12. to transform A to B; to make A into B; to exchange A for B (Usually written using kana alone) (as AをBにする)|13. to make use of A for B; to view A as B; to handle A as if it were B (Usually written using kana alone) (as AをBにする)|14. to feel A about B (Usually written using kana alone) (as AをBにする)||Suffix, Suru verb - irregular:|15. verbalizing suffix (applies to nouns noted in this dictionary with the part of speech "vs") (Usually written using kana alone)||Auxiliary verb, Suru verb - irregular:|16. creates a humble verb (after a noun prefixed with "o" or "go") (Usually written using kana alone)|17. to be just about to; to be just starting to; to try to; to attempt to (Usually written using kana alone) (as 〜うとする,〜ようとする)
あれ	Noun:|1. that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly) (Usually written using kana alone)|2. that person (used to refer to one's equals or inferiors)|3. over there (Archaism)|4. down there (i.e. one's genitals) (Colloquialism)|5. period; menses (Colloquialism)|6. hey (expression of surprise, suspicion, etc.); huh?; eh? (Usually written using kana alone)||Noun:|7. that (something mentioned before which is distant psychologically or in terms of time) (Usually written using kana alone)
バス	Noun:|1. bus|2. bath|3. bass
一日	ついたち	Noun:|1. first day of the month (usu. 一日 or １日)|2. first ten days of the lunar month (Archaism)
三日	みっか	Noun:|1. the third day of the month|2. three days
五日	いつか	Noun:|1. the fifth day of the month|2. five days
二日	ふつか	Noun:|1. second day of the month|2. two days
十日	とおか	Noun:|1. the tenth day of the month|2. ten days
六日	むいか	Noun:|1. sixth day of the month|2. six days
八日	ようか	Noun:|1. the eighth day of the month|2. eight days
九日	ここのか	Noun:|1. the ninth day of the month|2. nine days
来る	くる	Kuru verb - special class, intransitive verb:|1. to come (spatially or temporally); to approach; to arrive||Kuru verb - special class, intransitive verb, Auxiliary verb:|2. to come back; to do ... and come back|3. to come to be; to become; to get; to grow; to continue||Kuru verb - special class, intransitive verb:|4. to come from; to be caused by; to derive from|5. to come to (i.e. "when it comes to spinach ...")
後	あと	Noun, No-adjective:|1. behind; rear|2. after; later|3. after one's death|4. remainder; the rest|5. descendant; successor; heir||Adverbial noun:|6. more (e.g. five more minutes); left|7. also; in addition||Noun, No-adjective:|8. past; previous (Archaism)
一人	ひとり	Noun:|1. one person (esp. 一人)|2. alone; unmarried; solitary (esp. 独り)
二人	ふたり	Noun:|1. two persons; two people; pair; couple
そば	Noun:|1. near; close; beside; vicinity; proximity; besides; while (Usually written using kana alone)|2. third person
いいえ	:|1. no; nay (Usually written using kana alone)|2. well; er; why (Usually written using kana alone)|3. you're welcome; not at all; don't mention it (Usually written using kana alone)
地図	ちず	Noun:|1. map||Wikipedia definition:|2. Map
辛い	からい	I-adjective:|1. spicy; hot|2. salty|3. harsh (criticism); severe (punishment); strict|4. painful; bitter; difficult; tough
門	もん	Noun, Noun - used as a suffix:|1. gate|2. branch of learning based on the teachings of a single master|3. division; phylum (Biology term)||Counter:|4. counter for cannons
角	かど	Noun:|1. corner (e.g. desk, pavement)|2. edge
毎月	まいつき	Adverbial noun, Noun:|1. every month; each month; monthly
七	しち	Numeric:|1. seven (漆 is used in legal documents)||Prefix:|2. hepta-
おばさん	Noun:|1. aunt (Honorific or respectful (sonkeigo), Familiar language, Usually written using kana alone) (伯母さん is older than one's parent and 叔母さん is younger)
お風呂	おふろ	Noun:|1. bath
四	し	Numeric:|1. four (肆 is used in legal documents)
お酒	おさけ	Noun:|1. alcohol; sake (Polite (teineigo))
入口	いりぐち	Noun, No-adjective:|1. entrance; entry; gate; approach; mouth
出口	でぐち	Noun:|1. exit; gateway; way out; outlet; leak; vent
お皿	おさら	Noun:|1. plate; dish
昼ご飯	ひるごはん	Noun:|1. lunch; midday meal
鳥肉	とりにく	Noun:|1. chicken meat; bird meat
これ	Pronoun:|1. this (indicating an item near the speaker, the action of the speaker, or the current topic) (Usually written using kana alone)|2. this person (usu. indicating someone in one's in-group) (Humble (kenjougo))|3. now|4. here (Archaism)|5. I (me) (Archaism)|6. certainly (Archaism)
ここ	Pronoun:|1. here (place physically close to the speaker, place pointed by the speaker while explaining); this place (Usually written using kana alone)|2. these last (followed by a duration noun and a past sentence: time period before the present time of the speaker) (Usually written using kana alone)|3. these next ... (followed by a duration noun and a non past sentence: time period after the present time of the speaker); the next ... (Usually written using kana alone)
前	まえ	Adverbial noun, Temporal noun, Suffix:|1. ago; before (some event); previously; (minutes) to (the hour)|2. in front (of); before (e.g. the house)|3. head (of a line); front (e.g. of a bus); fore part|4. in the presence of|5. helping; portion|6. privates; private parts
もう	Adverb:|1. now; soon; shortly; before long; presently|2. already; yet; by now; (not) anymore|3. further; more; again; another; the other|4. tsk; dammit; jeez; come on (used to strengthen expression of an emotion (often exasperation))
どう	Adverb:|1. how; in what way; how about (Usually written using kana alone)
方	かた	Noun:|1. direction; way (also ほう)|2. person; lady; gentleman (Honorific or respectful (sonkeigo))||Noun, Noun - used as a suffix:|3. method of; manner of; way of||Noun - used as a suffix:|4. care of ...|5. person in charge of ... (also がた)|6. side (e.g. "on my mother's side") (also がた)
まだ	Adverb:|1. as yet; hitherto; only; still (Usually written using kana alone)|2. not yet (Usually written using kana alone) (with verb in the negative)|3. more; besides (Usually written using kana alone)||Na-adjective:|4. unfinished; incomplete; not yet finished with (Usually written using kana alone)
もっと	Adverb:|1. (some) more; even more; longer; further
いつ	Adverbial noun:|1. when; how soon (Usually written using kana alone)
パーティ	Noun:|1. party
他	ほか	Noun, No-adjective:|1. other (place, thing, person); the rest|2. outside; beyond (Usually written using kana alone) (esp. 外)||Adverbial noun:|3. nothing except; nothing but; nothing apart from; nothing aside from; no choice (but to) (Usually written using kana alone) (as 〜ほか〜ない, usu. after より or the dictionary form of a verb)|4. besides...; in addition to... (often as ほかに)
次	つぎ	Noun, No-adjective:|1. next; following; subsequent|2. stage; station
ドア	Noun:|1. door (Western-style)
どちら	Pronoun:|1. which way; which direction; where (Usually written using kana alone) (どちら is polite)|2. which one (esp. of two alternatives)|3. who
誰か	だれか	Pronoun:|1. someone; somebody
開く	あく	Godan verb with ku ending, intransitive verb:|1. to open (e.g. doors) (esp. 開く)|2. to open (e.g. business, etc.) (esp. 開く)|3. to be empty (esp. 空く)|4. to be vacant; to be available; to be free (esp. 空く)|5. to be open (e.g. neckline, etc.) (esp. 明く)|6. to have been opened (of one's eyes, mouth, etc.) (esp. 明く)|7. to come to an end (esp. 明く)||Godan verb with ku ending, Transitive verb:|8. to open (one's eyes, mouth, etc.) (esp. 明く)||Godan verb with ku ending, intransitive verb:|9. to have a hole; to form a gap; to have an interval (between events)
どうぞ	Adverb:|1. please; kindly; I beg of you|2. by all means; feel free; you are welcome|3. here you are (previously written as 何卒)
こんな	Pre-noun adjectival:|1. such (about something or someone close to the speaker (including the speaker), or about ideas expressed by the speaker); like this
下	した	Noun:|1. below; down; under; younger (e.g. daughter)|2. bottom|3. beneath; underneath|4. just after; right after (as 下から, 下より, etc.)||Noun, No-adjective:|5. inferiority; one's inferior (i.e. one's junior)||Noun:|6. trade-in||Noun - used as a prefix:|7. preliminary; preparatory
そして	Conjunction:|1. and; and then; thus; and now; and finally (Usually written using kana alone)
ゆっくり	Adverb, Noun, Suru verb, Adverb taking the 'to' particle:|1. slowly; at ease; restful (Onomatopoeic or mimetic word)
コート	Noun:|1. coat|2. court (i.e. tennis, basketball, etc.)
さあ	Conjunction:|1. come; come now; come along; go on; hurry up|2. well; who knows; I don't know...; uh; hmm|3. well now; let's see; there we go; all right (said when surprised or happy)|4. about that; you see
どうも	:|1. thank you; thanks (Abbreviation)||Adverb:|2. much (thanks); very (sorry); quite (regret)|3. quite; really; mostly|4. somehow|5. in spite of oneself; try as one might; no matter how hard one may try (to, not to)|6. greetings; hello; goodbye
じゃあ	Conjunction:|1. then; well; so; well then|2. combination of 'de' and 'wa' particles||Auxiliary:|3. plain copula (Kansai dialect)
コップ	Noun:|1. glass (drinking vessel); tumbler (also written 洋盃 and 骨杯)|2. cop (police officer) (Slang)
それから	Expression:|1. and then; after that (Usually written using kana alone)
ええ	:|1. yes; that is correct; right|2. um; errr|3. huh?|4. grrr; gah; Must I?||Noun or verb acting prenominally:|5. good (Kansai dialect)
ノート	Noun:|1. notebook; copy-book; exercise book (Abbreviation)||Noun, Suru verb:|2. note; noting down||Noun:|3. (musical) note|4. notebook computer; laptop (Abbreviation)
ボタン	Noun:|1. button (Usually written using kana alone) (kanji is only used for push-buttons)
デパート	Noun:|1. department store (Abbreviation)|2. department (Abbreviation)
トイレ	Noun:|1. toilet; restroom; bathroom; lavatory (Abbreviation)
それでは	Expression:|1. well then ... (Usually written using kana alone)|2. in that situation; in which case (Usually written using kana alone)
フォーク	Noun:|1. fork|2. folk; folk song|3. hawk
明後日	あさって	Adverbial noun, Temporal noun:|1. day after tomorrow
どれ	Pronoun:|1. which (of three or more) (Usually written using kana alone)|2. whichever; any (with a verb in 〜ても form)|3. well; now; let me see
二十歳	はたち	Noun:|1. 20 years old|2. twenty (Archaism)
あちら	Pronoun:|1. that way (direction distant from both speaker and listener); over there; yonder (Usually written using kana alone)|2. that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener); that|3. that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener) (あちら is pol.)|4. there (place distant from both speaker and listener); over there; foreign country (esp. a Western nation)
では	Conjunction:|1. then; well; so; well then
フィルム	Noun:|1. film
ぬるい	I-adjective:|1. lukewarm; tepid (Usually written using kana alone) (ぬくい is primarily used in Western Japan)|2. lenient (Usually written using kana alone)|3. slow; stupid (Usually written using kana alone, Archaism)
四日	よっか	Noun:|1. fourth day of the month|2. four days
カレンダー	Noun:|1. calendar|2. calender (machine for flattening things)
七日	なのか	Adverbial noun:|1. the seventh day of the month|2. seven days
そうして	Conjunction:|1. and; like that (Usually written using kana alone)
グラム	Noun:|1. gram; gramme (Usually written using kana alone)
キログラム	Noun:|1. kilogram; kilogramme (Usually written using kana alone)
すぐに	Adverb:|1. immediately; right away; at once; instantly (Usually written using kana alone)
一月	ひとつき	Noun:|1. one month
あのう	:|1. say; well; errr ...
マッチ	Noun:|1. match (contest)||Suru verb:|2. to match with; to go well with||Wikipedia definition:|3. Match
秋	あき	Temporal noun:|1. autumn; fall
マッチ	Noun:|1. match (to light fire with) (Usually written using kana alone)
字引	じびき	Noun:|1. dictionary
カレー	Noun:|1. curry (Usually written using kana alone)|2. rice and curry (Abbreviation, Usually written using kana alone)
三	サン	Numeric:|1. three
ラジカセ	Noun:|1. radio-cassette player (Abbreviation)
ＰＥＴ	ペット	Noun:|1. polyethylene terephthalate; PET|2. positron emission tomography; PET
